"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YGL124C",39.9184677900013,0.734979593128606,0.302564273930907,2.4291684658594,0.0151334986095827,0.0322997790101252
"YBL084C",106.660746180828,0.688428585193421,0.283611269767271,2.42736681711675,0.015208869786507,0.0324496938359887
"YHR168W",30.9064774919816,0.820476374533311,0.338128005329133,2.42652593574632,0.0152441606824954,0.0325140209632718
"YMR130W",35.5775673930769,0.818028967644449,0.337198801699539,2.42595455120672,0.0152681822070939,0.0325442917330154
"YNR045W",130.187952157614,-0.538675508404523,0.222047833876786,-2.42594354108148,0.0152686454098445,0.0325442917330154
"YOL151W",372.074659184568,0.713137187196115,0.293977710735606,2.42582060188055,0.0152738183781797,0.0325443488624018
"YMR140W",121.465022002347,-0.479941656687855,0.19796387176839,-2.42439012937354,0.0153341225411792,0.0326618359550075
"YDL109C",19.879677994961,0.968740821307287,0.400239986091376,2.4203998974908,0.0155034471611077,0.0330113804198132
"YDR395W",119.942565951403,0.710032131632564,0.293375714424017,2.42021441013469,0.0155113581438419,0.0330171083479152
"YPL093W",113.604386150829,0.69962616255997,0.289452825892328,2.4170645437755,0.0156462424605493,0.0332930139032685
"YLR301W",139.21316753274,0.517980627346086,0.214331425342993,2.41672739551452,0.0156607408617804,0.0333126556373694
"YNL053W",55.4117292266566,0.802838931480912,0.33224274519299,2.41642276045657,0.0156738512595886,0.0333293326717008
"YKR012C",10.2341205835373,-1.37666123063999,0.569998054605339,-2.41520338449782,0.0157264255404961,0.0334298874346545
"YDL234C",190.19034938348,-0.415700838914635,0.172203770490006,-2.414005440948,0.0157782267427446,0.0335287318283324
"YBL032W",44.4177010407314,-0.74402570644626,0.308314229380432,-2.41320586448898,0.0158128853054045,0.0335910939440304
"YFL042C",106.019395295113,0.540623794327324,0.224128876231669,2.41211129693307,0.0158604391582338,0.0336807982661755
"YDR499W",64.8038304681829,0.683187458497277,0.283257027088311,2.41189941700645,0.015869658867146,0.0336890643423402
"YOR212W",36.5814043234418,0.81740353959432,0.339486505683229,2.40776444986897,0.0160505330665037,0.0340616010444863
"YBR223C",15.0058201511369,1.19503335426469,0.496518037406077,2.40682767640793,0.0160917608809868,0.0341376369712716
"YJL100W",94.4887438396338,-0.496050646555926,0.20632638436439,-2.40420365085184,0.0162077413847509,0.0343721517495523
"YML009C-A",25.4214283689459,-1.21113655731215,0.503826031616093,-2.40387848445874,0.0162221645984496,0.0343912064769009
"YEL024W",728.387674515162,0.448129579750935,0.186682800690411,2.40048669772263,0.0163732858425818,0.0346883281971482
"YOL135C",22.0127584733092,-1.03666721901234,0.431840743224253,-2.40057760940359,0.0163692191914818,0.0346883281971482
"YDR092W",88.3723253641312,-0.517629387144986,0.215670095445289,-2.40009810389451,0.0163906783851634,0.0347086838899671
"YNL331C",52.0276720694233,1.00250745914695,0.417706773941177,2.40002681710909,0.0163938707747204,0.0347086838899671
"YKR026C",23.0718823926762,0.970676328422237,0.404513082341449,2.39961665220729,0.0164122495371092,0.0347359658877774
"YML079W",44.6101794600745,-0.683003601185108,0.284734037197973,-2.39874237694393,0.0164514846820579,0.034795715427871
